year_group,sow_set,id,term,week,dates,cycle,unit,unitName,lessonNo,lessonName,type,obj,alert
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_011,Michaelmas,M4B,14-18 Sep 2026,B,2,P1.2. Quadratics & P1.3. Equations and Inequalities,,P1.2.4 Quadratic Graphs,core,"Sketch and interpret quadratic graphs from algebraic form. Identify key features including intercepts, vertex, and axis of symmetry.",
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_012,Michaelmas,M4B,14-18 Sep 2026,B,2,P1.2. Quadratics & P1.3. Equations and Inequalities,,P1.2.5 The Discriminant + P1.3.1 Linear Simultaneous Equations,core,Apply the discriminant to determine the nature of quadratic roots. Solve contextual problems involving parameterised discriminants. / Solve linear simultaneous equations algebraically and graphically. Interpret solutions in algebraic and contextual settings.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_013,Michaelmas,M4B,14-18 Sep 2026,B,2,P1.2. Quadratics & P1.3. Equations and Inequalities,,P1.3.2 Quadratic Simultaneous Equations + P1.3.3 Simultaneous Equations on Graphs,core,Solve quadratic linear systems by substitution or elimination. Interpret intersections graphically and algebraically. / Identify intersection points of functions graphically. Estimate and verify graphical solutions algebraically.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_014,Michaelmas,M4B,14-18 Sep 2026,B,2,P1.2. Quadratics & P1.3. Equations and Inequalities,,P1.3.4 Linear Inequalities,core,Solve and represent linear inequalities on a number line. Express and interpret inequality solutions in real contexts.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_015,Michaelmas,M5A,21-25 Sep 2026,A,2,P1.2. Quadratics & P1.3. Equations and Inequalities,,P1.3.5 Quadratic Inequalities,core,Solve and represent quadratic inequalities using graphs or sign diagrams. Interpret solutions in relation to real contexts and boundary points.,Yr 7-13 interim report 0 opens Wed 23 Sep
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_016,Michaelmas,M5A,21-25 Sep 2026,A,2,P1.2. Quadratics & P1.3. Equations and Inequalities,,P1.3.6 Inequalities on Graphs + P1.3.7 Regions,core,Represent single and combined inequalities graphically. Identify regions satisfying multiple constraints. / Construct and interpret feasible regions defined by inequalities. Solve optimisation problems within defined regions.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_017,Michaelmas,M5A,21-25 Sep 2026,A,2,P1.2. Quadratics & P1.3. Equations and Inequalities,,Revision,cse,Mixed revision and exam-style practice for P1.2. Quadratics P1.3. Equations and Inequalities.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_018,Michaelmas,M5A,21-25 Sep 2026,A,2,P1.2. Quadratics & P1.3. Equations and Inequalities,★,Unit Test: P1.2. Quadratics P1.3. Equations and Inequalities,assessment,End-of-unit assessment for P1.2. Quadratics P1.3. Equations and Inequalities.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_019,Michaelmas,M6B,28 Sep-2 Oct 2026,B,3,P1.4 Graphs and Transformations,,P1.4.1 Cubic Graphs + P1.4.2 Reciprocal Graphs,core,Sketch cubic graphs identifying roots and turning points. Solve related equations using graphical and algebraic methods. / Sketch and interpret graphs of the form y = k/x and y = k/x^2. Identify asymptotes and describe key features.,Year 12 progress check; IR0 closes Fri 9 Oct following week
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_020,Michaelmas,M6B,28 Sep-2 Oct 2026,B,3,P1.4 Graphs and Transformations,,P1.4.3 Points of Intersection,core,Determine intersection points between two or more functions. Interpret intersection points within algebraic or applied contexts.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_021,Michaelmas,M6B,28 Sep-2 Oct 2026,B,3,P1.4 Graphs and Transformations,,P1.4.4 Translating Graphs,core,Apply horizontal and vertical translations to functions. Describe translations using vector and function notation.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_022,Michaelmas,M6B,28 Sep-2 Oct 2026,B,3,P1.4 Graphs and Transformations,,P1.4.5 Stretching Graphs + P1.4.6 Transforming Functions,core,"Apply vertical and horizontal stretches to graphs. Describe the effects of scale factors on key points and features. / Combine reflections, stretches, and translations systematically. Interpret composite transformations both algebraically and graphically.",
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_023,Michaelmas,M7A,5-9 Oct 2026,A,3,P1.4 Graphs and Transformations,,Revision,cse,Mixed revision and exam-style practice for P1.4 Graphs and Transformations.,IR0 closes Fri 9 Oct; Year 10 PTC Thu 8 Oct
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_024,Michaelmas,M7A,5-9 Oct 2026,A,3,P1.4 Graphs and Transformations,★,Unit Test: P1.4 Graphs and Transformations,assessment,End-of-unit assessment for P1.4 Graphs and Transformations.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_025,Michaelmas,M7A,5-9 Oct 2026,A,4,P1.5 Straight Line Graphs,,P1.5.1 y = mx + c,core,Interpret and use the gradient–intercept form of a straight line. Determine gradient and intercept from equations and graphs.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_026,Michaelmas,M7A,5-9 Oct 2026,A,4,P1.5 Straight Line Graphs,,P1.5.2 Equations of Straight Lines + P1.5.3 Parallel and Perpendicular Lines,core,Find the equation of a straight line from given points or gradient. Apply coordinate geometry to solve contextual problems. / Identify and calculate gradients of parallel and perpendicular lines. Apply relationships between gradients to problem contexts.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_027,Michaelmas,M8B,12-16 Oct 2026,B,4,P1.5 Straight Line Graphs,,P1.5.4 Length and Area,core,"Calculate distances, midpoints, and areas using coordinate geometry. Apply to simple geometric problem solving.",Tue 13 Oct national holiday; no new heavy content before half-term
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_028,Michaelmas,M8B,12-16 Oct 2026,B,4,P1.5 Straight Line Graphs,,Revision,cse,Mixed revision and exam-style practice for P1.5 Straight Line Graphs.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_029,Michaelmas,M8B,12-16 Oct 2026,B,4,P1.5 Straight Line Graphs,★,Unit Test: P1.5 Straight Line Graphs,assessment,End-of-unit assessment for P1.5 Straight Line Graphs.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_030,Michaelmas,M9A,26-30 Oct 2026,A,5,P1.6 Trigonometric Ratios & P2.6 Trigonometric Identities and Equations,,P1.6.1 The Cosine Rule + P1.6.2 The Sine Rule,core,Apply the cosine rule to find missing sides or angles in triangles. Solve geometric and contextual problems using cosine relationships. / Apply the sine rule to calculate missing sides and angles. Resolve ambiguous cases and interpret results geometrically.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_031,Michaelmas,M9A,26-30 Oct 2026,A,5,P1.6 Trigonometric Ratios & P2.6 Trigonometric Identities and Equations,,P1.6.3 Areas of Triangles,core,Use the formula Â½ab sin C to find the area of a triangle. Apply to non-right-angled and real-world contexts.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_032,Michaelmas,M9A,26-30 Oct 2026,A,5,P1.6 Trigonometric Ratios & P2.6 Trigonometric Identities and Equations,,P1.6.4 Solving Triangle Problems,core,Combine sine and cosine rules to solve multi-step triangle problems. Apply knowledge to bearings and 3D geometry tasks.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_033,Michaelmas,M9A,26-30 Oct 2026,A,5,P1.6 Trigonometric Ratios & P2.6 Trigonometric Identities and Equations,,"P1.6.5 Graphs of Sine, Cosine and Tangent + P1.6.6 Transforming Trigonometric Graphs",core,"Sketch and interpret graphs of sine, cosine, and tangent functions. Identify amplitude, period, and key points. / Apply transformations to trigonometric graphs. Describe transformations algebraically and interpret graphically.",
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_034,Michaelmas,M10B,2-6 Nov 2026,B,5,P1.6 Trigonometric Ratios & P2.6 Trigonometric Identities and Equations,,P2.6.1 Angles in All Four Quadrants + P2.6.2 Exact Values of Trigonometrical Ratios,core,"Calculate and interpret trigonometric ratios for angles in all four quadrants using symmetry and the CAST rule. Apply knowledge of signs and reference angles to solve problems involving trigonometric functions across 0° - 360° (or 0 -2pi radians). / Recall and use exact trigonometric values for standard angles (0°, 30°, 45°, 60°, 90°) in degrees and radians. Apply exact values in algebraic, geometric, and contextual trigonometric problems without using a calculator.",Year 12 IR1 opens Mon 2 Nov
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_035,Michaelmas,M10B,2-6 Nov 2026,B,5,P1.6 Trigonometric Ratios & P2.6 Trigonometric Identities and Equations,,P2.6.3 Trigonometric Identities,core,"Derive and apply key trigonometric identities, including sin²+ cos² = 1, tan = sin/cos, and related forms. Simplify and manipulate expressions using identities to prove equivalence or transform trigonometric expressions.",
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_036,Michaelmas,M10B,2-6 Nov 2026,B,5,P1.6 Trigonometric Ratios & P2.6 Trigonometric Identities and Equations,,P2.6.4 Solve Simple Trigonometric Equations,core,Solve basic trigonometric equations within a given interval using symmetry and reference angles. Represent and interpret multiple solutions graphically on the unit circle or trigonometric graphs.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_037,Michaelmas,M10B,2-6 Nov 2026,B,5,P1.6 Trigonometric Ratios & P2.6 Trigonometric Identities and Equations,,P2.6.5 Harder Trigonometric Equations + P2.6.6 Equations and Identities,core,Solve multi-step and compound trigonometric equations involving multiple functions or identities. Verify and restrict solutions to appropriate domains in radians or degrees. / Prove and apply compound and double-angle identities to simplify and solve trigonometric equations. Combine algebraic manipulation and trigonometric relationships to establish equivalence or find exact solutions.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_038,Michaelmas,M11A,9-13 Nov 2026,A,5,P1.6 Trigonometric Ratios & P2.6 Trigonometric Identities and Equations,,Revision,cse,Mixed revision and exam-style practice for P1.6 Trigonometric Ratios P2.6 Trigonometric Identities and Equations.,Year 12 IR1 closes Thu 12 Nov
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_039,Michaelmas,M11A,9-13 Nov 2026,A,5,P1.6 Trigonometric Ratios & P2.6 Trigonometric Identities and Equations,★,Unit Test: P1.6 Trigonometric Ratios P2.6 Trigonometric Identities and Equations,assessment,End-of-unit assessment for P1.6 Trigonometric Ratios P2.6 Trigonometric Identities and Equations.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_040,Michaelmas,M11A,9-13 Nov 2026,A,6,P1.7 Radians,,P1.7.1 Radian Measure + P1.7.2 Arc Length,core,"Define and convert between degree and radian measure. Interpret angles and arc lengths in radians. / Calculate arc length using radians. Apply relationships between angle, radius, and length to real contexts.",
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_041,Michaelmas,M11A,9-13 Nov 2026,A,6,P1.7 Radians,,P1.7.3 Areas of Sectors and Segments,core,Calculate areas of sectors and segments using radians. Apply geometric reasoning to composite figures.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_042,Michaelmas,M12B,16-20 Nov 2026,B,6,P1.7 Radians,,Revision,cse,Mixed revision and exam-style practice for P1.7 Radians.,Year 12 IR1 checking window
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_043,Michaelmas,M12B,16-20 Nov 2026,B,6,P1.7 Radians,★,Unit Test: P1.7 Radians,assessment,End-of-unit assessment for P1.7 Radians.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_044,Michaelmas,M12B,16-20 Nov 2026,B,7,P2.1 Algebraic Methods,,P2.1.1 Algebraic Fractions + P2.1.2 Dividing Polynomials,core,Simplify and manipulate algebraic fractions. Apply to solve equations involving rational expressions. / Perform polynomial division using long and synthetic methods. Verify results through substitution.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_045,Michaelmas,M12B,16-20 Nov 2026,B,7,P2.1 Algebraic Methods,,P2.1.3 The Factor Theorem,core,Apply the Factor Theorem to test and find factors of polynomials. Solve polynomial equations using known factors.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_046,Michaelmas,M13A,23-27 Nov 2026,A,7,P2.1 Algebraic Methods,,P2.1.4 The Remainder Theorem,core,Use the Remainder Theorem to determine remainders from polynomial division. Connect to factorisation results.,Year 12 PTC Thu 26 Nov
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_047,Michaelmas,M13A,23-27 Nov 2026,A,7,P2.1 Algebraic Methods,,P2.1.5 Mathematical Proof + P2.1.6 Methods of Proof,core,"Construct clear mathematical proofs by deduction and exhaustion. Justify reasoning through algebraic argument. / Apply direct, contrapositive, and contradiction proofs. Communicate reasoning using formal mathematical language.",
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_048,Michaelmas,M13A,23-27 Nov 2026,A,7,P2.1 Algebraic Methods,,Revision,cse,Mixed revision and exam-style practice for P2.1 Algebraic Methods.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_049,Michaelmas,M13A,23-27 Nov 2026,A,7,P2.1 Algebraic Methods,★,Unit Test: P2.1 Algebraic Methods,assessment,End-of-unit assessment for P2.1 Algebraic Methods.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_050,Michaelmas,M14B,30 Nov-4 Dec 2026,B,8,"P2.2 Coordinate Geometry in the (x,y) Plane",,P2.2.1 Midpoints and Perpendicular Bisectors,core,"Find midpoints, gradients, and perpendicular bisectors. Apply to geometric reasoning problems.",
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_051,Michaelmas,M14B,30 Nov-4 Dec 2026,B,8,"P2.2 Coordinate Geometry in the (x,y) Plane",,P2.2.2 Equation of a Circle,core,Derive the equation of a circle from its centre and radius. Sketch and interpret circle equations graphically.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_052,Michaelmas,M14B,30 Nov-4 Dec 2026,B,8,"P2.2 Coordinate Geometry in the (x,y) Plane",,P2.2.3 Intersections of Straight Lines and Circles + P2.2.4 Use Tangent and Chord Properties,core,Find intersection points of circles and lines algebraically. Interpret results geometrically. / Apply tangent and chord properties of circles. Use relationships to solve geometric problems.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_053,Michaelmas,M14B,30 Nov-4 Dec 2026,B,8,"P2.2 Coordinate Geometry in the (x,y) Plane",,P2.2.5 Circles and Triangles,core,Solve coordinate geometry problems involving circles and triangles. Combine algebraic and geometric reasoning.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_054,Michaelmas,M15A,7-11 Dec 2026,A,8,"P2.2 Coordinate Geometry in the (x,y) Plane",,Revision,cse,"Mixed revision and exam-style practice for P2.2 Coordinate Geometry in the (x,y) Plane.",Mon 7 Dec and Thu 10 Dec national holidays; Sixth Form and IGCSE Options Fair Tue 8 Dec
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_055,Michaelmas,M15A,7-11 Dec 2026,A,8,"P2.2 Coordinate Geometry in the (x,y) Plane",★,"Unit Test: P2.2 Coordinate Geometry in the (x,y) Plane",assessment,"End-of-unit assessment for P2.2 Coordinate Geometry in the (x,y) Plane.",
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_056,Michaelmas,M16B,14-16 Dec 2026,B,9,P2.3 Exponentials and Logarithms,,P2.3.1 Exponential Functions,core,Recognise and sketch exponential functions. Apply exponential growth and decay in context.,Final partial week of Michaelmas
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_057,Michaelmas,M16B,14-16 Dec 2026,B,9,P2.3 Exponentials and Logarithms,,P2.3.2 Logarithms,core,Define and interpret logarithmic functions as inverses of exponentials. Evaluate logarithms for given bases.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_058,Lent,L1A,7-8 Jan 2027,A,9,P2.3 Exponentials and Logarithms,,P2.3.3 Laws of Logarithms + P2.3.4 Solving Equations Using Logarithms,core,Apply and manipulate the laws of logarithms. Simplify and solve logarithmic expressions. / Solve exponential and logarithmic equations algebraically. Interpret solutions in context.,Partial week; term starts Thu 7 Jan
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_059,Lent,L1A,7-8 Jan 2027,A,9,P2.3 Exponentials and Logarithms,,P2.3.5 Changing the Base of a Logarithm,core,Change the base of a logarithm and apply to evaluation problems. Use the change-of-base formula in problem solving.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_060,Lent,L2B,11-15 Jan 2027,B,0,Mock Week (off-timetable),,Year 12/13 mock week,flex,No regular teaching. Use for formal mock assessment or study routines as relevant.,"Year 12 and Year 13 mock week, no regular teaching"
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_061,Lent,L3A,18-22 Jan 2027,A,9,P2.3 Exponentials and Logarithms,,Revision,cse,Mixed revision and exam-style practice for P2.3 Exponentials and Logarithms.,Year 12/13 IR2 opens Mon 18 Jan; mock results report opens
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_062,Lent,L3A,18-22 Jan 2027,A,9,P2.3 Exponentials and Logarithms,★,Unit Test: P2.3 Exponentials and Logarithms,assessment,End-of-unit assessment for P2.3 Exponentials and Logarithms.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_063,Lent,L3A,18-22 Jan 2027,A,10,P2.4 The Binomial Expansion,,P2.4.1 Pascal’s Triangle,core,Generate coefficients using Pascal’s Triangle. Recognise patterns within binomial expansions.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_064,Lent,L3A,18-22 Jan 2027,A,10,P2.4 The Binomial Expansion,,P2.4.2 Factorial Notation,core,Use factorial notation in combinatorial contexts. Evaluate expressions involving factorials.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_065,Lent,L4B,25-29 Jan 2027,B,10,P2.4 The Binomial Expansion,,P2.4.3 The Binomial Expansion + P2.4.4 Solving Binomial Problems,core,Expand expressions using the Binomial Theorem. Identify specific terms and coefficients. / Solve contextual problems using binomial expansion. Apply expansion results to approximations.,Year 12/13 IR2 closes Thu 28 Jan
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_066,Lent,L4B,25-29 Jan 2027,B,10,P2.4 The Binomial Expansion,,P2.4.5 Binomial Estimation,core,Use binomial expansion for estimation and approximation. Evaluate limitations of binomial models.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_067,Lent,L4B,25-29 Jan 2027,B,10,P2.4 The Binomial Expansion,,Revision,cse,Mixed revision and exam-style practice for P2.4 The Binomial Expansion.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_068,Lent,L4B,25-29 Jan 2027,B,10,P2.4 The Binomial Expansion,★,Unit Test: P2.4 The Binomial Expansion,assessment,End-of-unit assessment for P2.4 The Binomial Expansion.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_069,Lent,L5A,1-5 Feb 2027,A,11,P2.5 Sequences and Series,,P2.5.1 Arithmetic Sequences + P2.5.2 Arithmetic Series,core,Define and generate arithmetic sequences using common differences. Solve problems involving nth term. / Calculate sums of arithmetic series. Apply formulae to contextual examples.,Year 12/13 mock results publish; IR2 completion
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_070,Lent,L5A,1-5 Feb 2027,A,11,P2.5 Sequences and Series,,P2.5.3 Geometric Sequences,core,Define geometric sequences and determine common ratios. Solve problems involving nth term of a geometric progression.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_071,Lent,L5A,1-5 Feb 2027,A,11,P2.5 Sequences and Series,,P2.5.4 Geometric Series + P2.5.5 Sum to Infinity,core,Calculate sums of geometric series. Apply to financial and growth contexts. / Determine sum to infinity for convergent geometric series. Apply to contextual situations involving limits.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_072,Lent,L5A,1-5 Feb 2027,A,11,P2.5 Sequences and Series,,P2.5.6 Sigma Notation,core,Use sigma notation to represent and manipulate series. Evaluate finite sums accurately.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_073,Lent,L6B,8-12 Feb 2027,B,11,P2.5 Sequences and Series,,P2.5.7 Recurrence Relations + P2.5.8 Modelling with Series,core,Form and analyse recurrence relations. Model iterative sequences numerically and algebraically. / Apply arithmetic and geometric series to real-world modelling. Interpret and critique results.,Year 13 PTC Wed 10 Feb; final week before half-term
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_074,Lent,L6B,8-12 Feb 2027,B,11,P2.5 Sequences and Series,,Revision,cse,Mixed revision and exam-style practice for P2.5 Sequences and Series.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_075,Lent,L6B,8-12 Feb 2027,B,11,P2.5 Sequences and Series,★,Unit Test: P2.5 Sequences and Series,assessment,End-of-unit assessment for P2.5 Sequences and Series.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_076,Lent,L6B,8-12 Feb 2027,B,12,P1.8 Differentiation & P2.7 Differentiation,,P1.8.1 Gradients of Curves + P1.8.2 Finding the Derivative,core,Understand the concept of a gradient of a curve. Determine gradients at specific points using differentiation. / Differentiate basic functions using first principles and standard rules. Apply to find rates of change.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_077,Lent,L7A,22-26 Feb 2027,A,12,P1.8 Differentiation & P2.7 Differentiation,,P1.8.3 Differentiating xⁿ,core,Differentiate functions of the form x^n. Use power rule to find general derivatives.,Return after half-term
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_078,Lent,L7A,22-26 Feb 2027,A,12,P1.8 Differentiation & P2.7 Differentiation,,P1.8.4 Differentiating Quadratics + P1.8.5 Differentiating Functions with Two or More Terms,core,Differentiate quadratic expressions. Apply derivatives to interpret rates and turning points. / Differentiate functions with multiple terms using linearity. Simplify and apply results to practical problems.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_079,Lent,L7A,22-26 Feb 2027,A,12,P1.8 Differentiation & P2.7 Differentiation,,"P1.8.6 Gradients, Tangents and Normals",core,Find equations of tangents and normals to curves. Interpret results geometrically and algebraically.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_080,Lent,L7A,22-26 Feb 2027,A,12,P1.8 Differentiation & P2.7 Differentiation,,P1.8.7 Second Order Derivatives + P2.7.1 Increasing and Decreasing Functions,core,Find and interpret second derivatives. Classify stationary points using second derivative tests. / Identify intervals of increasing and decreasing functions. Interpret gradient sign using first derivatives.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_081,Lent,L8B,1-5 Mar 2027,B,12,P1.8 Differentiation & P2.7 Differentiation,,P2.7.2 Stationary Points,core,"Find and classify stationary points. Determine maxima, minima, and points of inflection.",Year 13 full report 3 opens Thu 4 Mar; Year 12 IR3 opens Wed 3 Mar
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_082,Lent,L8B,1-5 Mar 2027,B,12,P1.8 Differentiation & P2.7 Differentiation,,P2.7.3 Sketching Gradient Functions + P2.7.4 Modelling with Differentiation,core,Sketch gradient functions for given curves. Relate features of derivative graphs to original functions. / Model real-world problems using differentiation. Interpret and justify optimisation results.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_083,Lent,L8B,1-5 Mar 2027,B,12,P1.8 Differentiation & P2.7 Differentiation,,Revision,cse,Mixed revision and exam-style practice for P1.8 Differentiation P2.7 Differentiation.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_084,Lent,L8B,1-5 Mar 2027,B,12,P1.8 Differentiation & P2.7 Differentiation,★,Unit Test: P1.8 Differentiation P2.7 Differentiation,assessment,End-of-unit assessment for P1.8 Differentiation P2.7 Differentiation.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_085,Lent,L9A,8-12 Mar 2027,A,13,P1.9 Integration & P2.8 Integration,,P1.9.1 Integrating xⁿ + P1.9.2 Indefinite Integrals,core,Integrate functions of the form x^n. Understand integration as the reverse of differentiation. / Find indefinite integrals and include constant of integration. Use integration to reconstruct functions.,IR3 / full report closes and checking window
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_086,Lent,L9A,8-12 Mar 2027,A,13,P1.9 Integration & P2.8 Integration,,P1.9.3 Finding Functions,core,Determine a function from its derivative. Apply integration in modelling and motion contexts.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_087,Lent,L9A,8-12 Mar 2027,A,13,P1.9 Integration & P2.8 Integration,,P2.8.1 Definite Integrals,core,Evaluate definite integrals between given limits. Interpret integrals as area under curves.,
Year 12,P12 (Ma1P12 / Ma2P12),y12_p12_088,Lent,L9A,8-12 Mar 2027,A,13,P1.9 Integration & P2.8 Integration,,P2.8.2 Areas Under Curves + P2.8.3 Areas Under the x-Axis,core,Calculate and interpret areas under curves using integration. Connect graphical and analytical approaches. / Calculate areas below the x-axis and interpret as signed quantities. Apply in composite problems.,
